model_name,class_set,cutoff,confidence_threshold,accuracy,true positive,true negative,false postivie,false negative,precision,recall,f1_score
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.001,0.8531468531468531,103,19,21,0,0.8306451612903226,1.0,0.907488986784141
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.01,0.9300699300699301,103,30,10,0,0.911504424778761,1.0,0.9537037037037037
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.02,0.951048951048951,103,33,7,0,0.9363636363636364,1.0,0.9671361502347418
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.03,0.958041958041958,103,34,6,0,0.944954128440367,1.0,0.9716981132075472
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.04,0.958041958041958,103,34,6,0,0.944954128440367,1.0,0.9716981132075472
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.05,0.958041958041958,102,35,5,1,0.9532710280373832,0.9902912621359223,0.9714285714285714
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.06,0.958041958041958,102,35,5,1,0.9532710280373832,0.9902912621359223,0.9714285714285714
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.07,0.958041958041958,102,35,5,1,0.9532710280373832,0.9902912621359223,0.9714285714285714
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.08,0.958041958041958,101,36,4,2,0.9619047619047619,0.9805825242718447,0.9711538461538461
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.09,0.951048951048951,100,36,4,3,0.9615384615384616,0.970873786407767,0.966183574879227
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.1,0.951048951048951,100,36,4,3,0.9615384615384616,0.970873786407767,0.966183574879227
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.125,0.9440559440559441,99,36,4,4,0.9611650485436893,0.9611650485436893,0.9611650485436893
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.15,0.9440559440559441,99,36,4,4,0.9611650485436893,0.9611650485436893,0.9611650485436893
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.175,0.9440559440559441,99,36,4,4,0.9611650485436893,0.9611650485436893,0.9611650485436893
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.2,0.9440559440559441,99,36,4,4,0.9611650485436893,0.9611650485436893,0.9611650485436893
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.25,0.9440559440559441,99,36,4,4,0.9611650485436893,0.9611650485436893,0.9611650485436893
yolov8l-worldv2.pt,"['cat', 'dog']",,0.001,0.8251748251748252,103,15,25,0,0.8046875,1.0,0.8917748917748918
yolov8l-worldv2.pt,"['cat', 'dog']",,0.01,0.916083916083916,101,30,10,2,0.9099099099099099,0.9805825242718447,0.9439252336448598
yolov8l-worldv2.pt,"['cat', 'dog']",,0.02,0.9370629370629371,101,33,7,2,0.9351851851851852,0.9805825242718447,0.9573459715639812
yolov8l-worldv2.pt,"['cat', 'dog']",,0.03,0.9370629370629371,101,33,7,2,0.9351851851851852,0.9805825242718447,0.9573459715639812
yolov8l-worldv2.pt,"['cat', 'dog']",,0.04,0.9370629370629371,101,33,7,2,0.9351851851851852,0.9805825242718447,0.9573459715639812
yolov8l-worldv2.pt,"['cat', 'dog']",,0.05,0.9440559440559441,101,34,6,2,0.9439252336448598,0.9805825242718447,0.9619047619047619
yolov8l-worldv2.pt,"['cat', 'dog']",,0.06,0.9440559440559441,101,34,6,2,0.9439252336448598,0.9805825242718447,0.9619047619047619
yolov8l-worldv2.pt,"['cat', 'dog']",,0.07,0.9440559440559441,101,34,6,2,0.9439252336448598,0.9805825242718447,0.9619047619047619
yolov8l-worldv2.pt,"['cat', 'dog']",,0.08,0.9440559440559441,101,34,6,2,0.9439252336448598,0.9805825242718447,0.9619047619047619
yolov8l-worldv2.pt,"['cat', 'dog']",,0.09,0.9440559440559441,101,34,6,2,0.9439252336448598,0.9805825242718447,0.9619047619047619
yolov8l-worldv2.pt,"['cat', 'dog']",,0.1,0.9440559440559441,101,34,6,2,0.9439252336448598,0.9805825242718447,0.9619047619047619
yolov8l-worldv2.pt,"['cat', 'dog']",,0.125,0.9440559440559441,101,34,6,2,0.9439252336448598,0.9805825242718447,0.9619047619047619
yolov8l-worldv2.pt,"['cat', 'dog']",,0.15,0.9440559440559441,101,34,6,2,0.9439252336448598,0.9805825242718447,0.9619047619047619
yolov8l-worldv2.pt,"['cat', 'dog']",,0.175,0.951048951048951,101,35,5,2,0.9528301886792453,0.9805825242718447,0.9665071770334929
yolov8l-worldv2.pt,"['cat', 'dog']",,0.2,0.9440559440559441,100,35,5,3,0.9523809523809523,0.970873786407767,0.9615384615384616
yolov8l-worldv2.pt,"['cat', 'dog']",,0.25,0.9370629370629371,99,35,5,4,0.9519230769230769,0.9611650485436893,0.9565217391304348
yolov8l-worldv2.pt,"['cat', 'dog', 'tiger']",tiger,0.001,0.8391608391608392,102,18,22,1,0.8225806451612904,0.9902912621359223,0.8986784140969163
yolov8l-worldv2.pt,"['cat', 'dog', 'tiger']",tiger,0.01,0.9230769230769231,101,31,9,2,0.9181818181818182,0.9805825242718447,0.9483568075117371
yolov8l-worldv2.pt,"['cat', 'dog', 'tiger']",tiger,0.02,0.9370629370629371,101,33,7,2,0.9351851851851852,0.9805825242718447,0.9573459715639812
yolov8l-worldv2.pt,"['cat', 'dog', 'tiger']",tiger,0.03,0.9440559440559441,101,34,6,2,0.9439252336448598,0.9805825242718447,0.9619047619047619
yolov8l-worldv2.pt,"['cat', 'dog', 'tiger']",tiger,0.04,0.9440559440559441,101,34,6,2,0.9439252336448598,0.9805825242718447,0.9619047619047619
yolov8l-worldv2.pt,"['cat', 'dog', 'tiger']",tiger,0.05,0.951048951048951,101,35,5,2,0.9528301886792453,0.9805825242718447,0.9665071770334929
yolov8l-worldv2.pt,"['cat', 'dog', 'tiger']",tiger,0.06,0.9440559440559441,100,35,5,3,0.9523809523809523,0.970873786407767,0.9615384615384616
yolov8l-worldv2.pt,"['cat', 'dog', 'tiger']",tiger,0.07,0.9440559440559441,100,35,5,3,0.9523809523809523,0.970873786407767,0.9615384615384616
yolov8l-worldv2.pt,"['cat', 'dog', 'tiger']",tiger,0.08,0.9440559440559441,100,35,5,3,0.9523809523809523,0.970873786407767,0.9615384615384616
yolov8l-worldv2.pt,"['cat', 'dog', 'tiger']",tiger,0.09,0.9440559440559441,100,35,5,3,0.9523809523809523,0.970873786407767,0.9615384615384616
yolov8l-worldv2.pt,"['cat', 'dog', 'tiger']",tiger,0.1,0.9440559440559441,100,35,5,3,0.9523809523809523,0.970873786407767,0.9615384615384616
yolov8l-worldv2.pt,"['cat', 'dog', 'tiger']",tiger,0.125,0.9440559440559441,100,35,5,3,0.9523809523809523,0.970873786407767,0.9615384615384616
yolov8l-worldv2.pt,"['cat', 'dog', 'tiger']",tiger,0.15,0.9440559440559441,100,35,5,3,0.9523809523809523,0.970873786407767,0.9615384615384616
yolov8l-worldv2.pt,"['cat', 'dog', 'tiger']",tiger,0.175,0.9440559440559441,100,35,5,3,0.9523809523809523,0.970873786407767,0.9615384615384616
yolov8l-worldv2.pt,"['cat', 'dog', 'tiger']",tiger,0.2,0.9440559440559441,100,35,5,3,0.9523809523809523,0.970873786407767,0.9615384615384616
yolov8l-worldv2.pt,"['cat', 'dog', 'tiger']",tiger,0.25,0.9370629370629371,99,35,5,4,0.9519230769230769,0.9611650485436893,0.9565217391304348
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.001,0.8671328671328671,102,22,18,1,0.85,0.9902912621359223,0.9147982062780268
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.01,0.9300699300699301,101,32,8,2,0.926605504587156,0.9805825242718447,0.9528301886792453
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.02,0.9440559440559441,101,34,6,2,0.9439252336448598,0.9805825242718447,0.9619047619047619
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.03,0.958041958041958,101,36,4,2,0.9619047619047619,0.9805825242718447,0.9711538461538461
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.04,0.958041958041958,101,36,4,2,0.9619047619047619,0.9805825242718447,0.9711538461538461
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.05,0.951048951048951,100,36,4,3,0.9615384615384616,0.970873786407767,0.966183574879227
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.06,0.951048951048951,100,36,4,3,0.9615384615384616,0.970873786407767,0.966183574879227
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.07,0.951048951048951,100,36,4,3,0.9615384615384616,0.970873786407767,0.966183574879227
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.08,0.951048951048951,100,36,4,3,0.9615384615384616,0.970873786407767,0.966183574879227
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.09,0.951048951048951,100,36,4,3,0.9615384615384616,0.970873786407767,0.966183574879227
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.1,0.951048951048951,100,36,4,3,0.9615384615384616,0.970873786407767,0.966183574879227
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.125,0.9440559440559441,99,36,4,4,0.9611650485436893,0.9611650485436893,0.9611650485436893
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.15,0.9440559440559441,99,36,4,4,0.9611650485436893,0.9611650485436893,0.9611650485436893
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.175,0.9440559440559441,99,36,4,4,0.9611650485436893,0.9611650485436893,0.9611650485436893
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.2,0.9440559440559441,99,36,4,4,0.9611650485436893,0.9611650485436893,0.9611650485436893
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.25,0.9440559440559441,99,36,4,4,0.9611650485436893,0.9611650485436893,0.9611650485436893
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger']",tiger,0.001,0.8111888111888111,103,13,27,0,0.7923076923076923,1.0,0.8841201716738197
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger']",tiger,0.01,0.916083916083916,103,28,12,0,0.8956521739130435,1.0,0.944954128440367
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger']",tiger,0.02,0.9440559440559441,103,32,8,0,0.9279279279279279,1.0,0.9626168224299065
yolov8l-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger']",tiger,0.03,0.951048951048951,103,33,7,0,0.9363636363636364,1.0,0.9671361502347418
